,Datetime,Tweet Id,Text,Username
27,2021-11-30 23:59:48+00:00,1465832970447556609,"What Fox News typefolks will never understand is that a Lib like me does not regard Chris Cuomo as an ally, a representative of my politics, nor as a journalist. But go ahead and insist upon that falsely as our voters out-survive Covid on your behalf.",Hoagielife
28,2021-11-30 23:59:48+00:00,1465832970271477760,@Gordon_crp @roisinanna @gavreilly @VirginMediaNews What’s your actual concern? That kids will not develop immunity to Covid if masked or otherwise protected from it? Or that their immune systems in some broader sense will be weaker due to those mitigations?,EdwardRocket1
29,2021-11-30 23:59:48+00:00,1465832968484704261,"@owillis Not surprised, Covid aside if Cuomo could be accused and forced out of office just like that, why would any Santa take the risk?",Bi08101657
30,2021-11-30 23:59:47+00:00,1465832967360716805,@GeneralHospital @CameronMathison Bye GH ! Burton carried GH for year's.  Without Sonny or Jason GH sucks!  Vaccinated get and spread covid. Follow science and not politics!,BUMBUMFANM
31,2021-11-30 23:59:47+00:00,1465832966878371845,#they’ve been gunning for Africa to have a high percentage of COVID cases from day dot and it’s not happening. Like give it up,Esmexv2
32,2021-11-30 23:59:47+00:00,1465832966475685894,@4Patrick7 South Africa has been doing fine without the jabs. Better than fine. Want to see a Covid wildfire start jabbing everyone. Watch cases soar.,Babydoll921961
33,2021-11-30 23:59:47+00:00,1465832966471692291,Omicron brings COVID-19 vaccine inequity 'home to roost' @AP ⁦@mylcheng⁩ ⁦@lhinnant⁩ ⁦@ZekeJMiller⁩  https://t.co/9zlv2pvPvE,mariyamaguchi
34,2021-11-30 23:59:47+00:00,1465832965548777475,@Gazbar1980 @RealDeniseWelch How do you know its lies what evidence do you have? The reason we are having a booster jab is simply the previous two do not offer protection. I know so many people that have had covid after two jabs who had no underlying illnesses. One spent 8 weeks in a coma that is fact.,ElaineEdmond5
35,2021-11-30 23:59:44+00:00,1465832954479857668,Canda covid ✌🏿,robyparman
36,2021-11-30 23:59:44+00:00,1465832954156883972,"NYC’s budget is projected to grow to $102.8 billion.

The increase is due to the billions in relief from the feds to cover costs associated with the city’s COVID response and recovery efforts in the wake of Hurricane Ida.

https://t.co/HxWGCFgEmJ",NYDailyNews
37,2021-11-30 23:59:43+00:00,1465832950323363844,"@Emilia26774099 Dear Auntie Emm, 
My husband and both had COVID-19 in April. Sniffles. Taste and smell. Fatigue. Keep up the D3, zinc, and magnesium, and snuggle in for a staycation. Get some sun. Breathe deeply. Take walks. Rest. 🙏❤❣❤🙏 https://t.co/COcGrUG0G9",LAWilkins1992
38,2021-11-30 23:59:43+00:00,1465832948398239750,@miles_commodore Three question is that medicine for parasites safe to use for COVID-19 are there side effects and does it cost an arm and a leg,JamesPr89458810
39,2021-11-30 23:59:42+00:00,1465832945055420432,"I’m continually surprised by how many people “know” that Covid is going to turn into something like influenza. 

Virologists, immunologists and infectious disease specialists seem to me to be much less confident about this.",IrfanDhalla
40,2021-11-30 23:59:42+00:00,1465832944564539394,"@KimIversenShow Why do you ignore the recent French study that Covid vaccinations are over 90% effective at preventing hospitalization and death? 

Covers 23 MILLION people and doesnt rely on anecdotal stories as your COVID segments have. Your new followers may not know!

https://t.co/0oBAfZbhTl",allthatyazzz
41,2021-11-30 23:59:42+00:00,1465832943339769860,"@RazzarTG @_gyore @mtracey @RudyHavenstein COVID nurses administer the PCR tests. Everyone gets tested the day before the first day on set, and then nasal raped every three days afterward.",rabidnarcs
42,2021-11-30 23:59:41+00:00,1465832941854998530,"@TruAmericanGal1 Covid-19 is attenuating and the MSM is barely reporting it. New York is in a state of emergency for a virus the South African authorities say is significantly milder than previous variants, just like any attenuated pathogen will. Natural immunity remains ignored.",DigitheadRex
43,2021-11-30 23:59:41+00:00,1465832941632770048,We gonna have more Covid strains than iPhones in a min.,NiaNRiley
44,2021-11-30 23:59:41+00:00,1465832940236165122,Hope covid don’t mess with Bron long term 💯 that’s all,deswhitley5
45,2021-11-30 23:59:41+00:00,1465832939812495365,"@ClareBFFerguson Nah, it’s you that’s the poison, or a disease like a chattering-class cancer on society. 
You’re ruinous COVID gig is up, you’ll have to start OCDing on Brexit again",CollinsMikeyc
46,2021-11-30 23:59:41+00:00,1465832939384545285,@upthenua @Plasticdoe @TheFiapokoGuy @gusdafa @jmauli @laniwendtyoung @vaiala I suggest you listen to presentations by the most cited Doctor in the world on Covid with 47 publications. He is also the most published cardiologist in history with over 600 publications. His concerns on the damage the shots are doing it not a good thing.,TamaseseEdwin
47,2021-11-30 23:59:40+00:00,1465832935966359557,"In the history of diplomatic relations, Canada for example has never had the no. of reps they now have in Naija. When Covid broke out in 2020, almost all diplomats left fearing that “they will be picking up corpses on our streets” 
Everyone of them is back with many relations.",abiodunosemobor
48,2021-11-30 23:59:40+00:00,1465832935760838657,@HKPROSIQUE Covid,Domfig92
49,2021-11-30 23:59:39+00:00,1465832931553906689,"@country_still Did u see this

A Maine Republican who fought COVID-19 restrictions and lost his wife to the disease has resigned https://t.co/j7HxGrC0JR",TPDMomof3
50,2021-11-30 23:59:38+00:00,1465832926344585219,@RTENewsPaulC @DonnellyStephen @RTE_PrimeTime @rtenews Oh sweet holy lord GIVE ME PATIENCE. Then ask him how my child has covid .. she goes NOWHERE else … EVER not even as far a shop since March 20 . https://t.co/Zq8dk23tk1,muinteoirmama
51,2021-11-30 23:59:38+00:00,1465832926285869068,@rtenews I bet they had covid,w4nk5r
52,2021-11-30 23:59:38+00:00,1465832926197735426,Imagine being in secondary school now with all the menaces you used to have in ur year and the entertainment you would get from them not wearing masks and causing absolute mayhem over the covid haahhahaahahah,carliecorcoran1
53,2021-11-30 23:59:37+00:00,1465832925400809481,"@donwinslow Yesterday, I received the Covid booster and flu shot. I have a sore arm and headache today, but totally worth it.",HkVoyage
54,2021-11-30 23:59:37+00:00,1465832924482195460,"Getting a covid shot today, reason being is because I wanna travel to palmiston North cause the rents cheaper",VTKiwiSushi
55,2021-11-30 23:59:37+00:00,1465832924389916674,"not day6 related but WHAT THE FUxK, dear my beloved gov, if you want covid to disappear in indo, you need to do another ppkm or even lockdown (and be strict bout it), not this??? we already stressed enough with pandemic situation, dont make it worse dumbo https://t.co/2xhZLwzhSl",dopilthekid
56,2021-11-30 23:59:36+00:00,1465832920950747143,"@SenatorShaheen Do you know ANYTHING ANYTHING about the scientific data concerning Covid-19? And you want a revolution concerning abortion?  Good God, woman, uneducated belligerent inbred and reactionary we have enough of.",FredoCu04223766
57,2021-11-30 23:59:35+00:00,1465832916496355331,@keithamccluskey @Gordon_DHG @JohnDublin10 @try2golf @TWTThisIsNow @amcelha3 @CrispyCX @4Clearsky @jimdtweet @Kenneth72712993 @Moderna5G_666 @sandcastle1975 @IngersolRobert @OscarsWild1 @BolzmannMichael @rln_nelson @HalBrow68884227 @AristotleMrs @BigRakaDoc @chimera414 @k_b_lvi @Stephen04880258 @GuyGadboisGuyG1 @thisisnothappen @basil_ireton @The_Ouroboros__ @DavidTaylorYork @GlennCarr6 @DawnTJ90 @EricWil06256732 @wildweatherdan @robhon_ @ejwwest @Tragiicomedy @covid_parent @Canadianworker2 @IanDJbrown2 @Narvuntien @dan613 @Boeing74 @organicdot @oakden_wolf @RobMeekel @25_cycle @sunsnowflowers @BridgetHolmstro @rockandroll432 @MassiMassian @DaveJohn0175 @TheDisproof It gave me what I needed.,BubbasRanch
58,2021-11-30 23:59:34+00:00,1465832911655997441,@LakersNation If he would to have covid and the team traveled then why isn’t the game postponed unless it’s just a close contact,DavidVe64270691
59,2021-11-30 23:59:34+00:00,1465832911525998593,"Carlotta Masala: 27-Year-Old Dies From Myocarditis Months After Receiving Pfizer COVID-19 Vaccine, Father Seeks Answers https://t.co/rfukek92hz",miaculpepper2
60,2021-11-30 23:59:34+00:00,1465832911366758404,"Sometimes I remember the sound @MelanieScrofano made when I asked her if my hair looked good after she cut it and I just start smiling. 
I miss her and all the moments I shared with her so f*cking much 😔 
Can covid go away so I can finally go to cons and feel happy again?",melshairbrush
